Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Melbourne,702/108 Flinders St,2,u,675000.0,VB,Kay,24/09/2016,2.8,3000.0,2.0,2.0,1.0,0.0,,2014.0,Melbourne,-37.8161,144.9712,Northern Metropolitan,17496.0
Melbourne,902/16 Liverpool St,1,u,427000.0,S,Harcourts,3/12/2016,2.8,3000.0,1.0,1.0,0.0,0.0,,,Melbourne,-37.8111,144.9715,Northern Metropolitan,17496.0
Melbourne,103/565 Flinders St,2,u,360000.0,VB,Dingle,28/08/2016,2.8,3000.0,1.0,1.0,1.0,1136.0,69.0,2009.0,Melbourne,-37.8211,144.9559,Northern Metropolitan,17496.0
Melbourne,1003/265 Exhibition St,3,u,760000.0,S,hockingstuart,28/05/2016,2.8,3000.0,2.0,2.0,1.0,0.0,89.0,1997.0,Melbourne,-37.8095,144.9691,Northern Metropolitan,17496.0
Melbourne,405/270 King St,2,u,360000.0,VB,LITTLE,7/11/2016,2.8,3000.0,2.0,1.0,0.0,0.0,66.0,1974.0,Melbourne,-37.8138,144.9548,Northern Metropolitan,17496.0
Melbourne,2206/60 Market St,1,u,450000.0,VB,Dingle,12/11/2016,2.8,3000.0,1.0,1.0,0.0,0.0,57.0,1960.0,Melbourne,-37.8178,144.9607,Northern Metropolitan,17496.0
Melbourne,601/616 Little Collins St,4,u,1850000.0,VB,hockingstuart,8/04/2017,2.8,3000.0,4.0,2.0,1.0,0.0,213.0,1938.0,Melbourne,-37.8177,144.9544,Northern Metropolitan,17496.0
Melbourne,14/2 Exhibition St,2,u,1160500.0,S,Kay,4/03/2017,2.8,3000.0,2.0,2.0,1.0,4230.0,,2006.0,Melbourne,-37.8157,144.9727,Northern Metropolitan,17496.0
Melbourne,19/300 King St,2,u,740000.0,VB,MICM,17/06/2017,0.0,3000.0,2.0,1.0,1.0,0.0,113.0,1999.0,Melbourne,-37.81317,144.95452,Northern Metropolitan,17496.0
Melbourne,304/8 Sutherland St,3,u,610000.0,S,Pagan,18/06/2016,2.8,3000.0,3.0,2.0,0.0,0.0,,,Melbourne,-37.8114,144.961,Northern Metropolitan,17496.0
Melbourne,2306/265 Exhibition St,2,u,780000.0,SP,Galldon,4/06/2016,2.8,3000.0,2.0,2.0,1.0,0.0,85.0,1997.0,Melbourne,-37.8095,144.9691,Northern Metropolitan,17496.0
Melbourne,2208/380 Little Lonsdale St,1,u,333000.0,SP,Biggin,8/04/2017,2.8,3000.0,1.0,1.0,0.0,0.0,41.0,2010.0,Melbourne,-37.8122,144.9582,Northern Metropolitan,17496.0
Melbourne,1206/483 Swanston St,2,u,520000.0,VB,Greg,19/11/2016,2.8,3000.0,1.0,1.0,1.0,4051.0,68.0,2005.0,Melbourne,-37.8072,144.9623,Northern Metropolitan,17496.0
Melbourne,1101/265 Exhibition St,3,u,895000.0,S,hockingstuart,22/04/2017,2.8,3000.0,3.0,2.0,3.0,0.0,,,Melbourne,-37.8095,144.9691,Northern Metropolitan,17496.0
Melbourne,2111/620 Collins St,2,u,545000.0,SP,Greg,12/11/2016,2.8,3000.0,2.0,1.0,1.0,0.0,67.0,2002.0,Melbourne,-37.8188,144.9544,Northern Metropolitan,17496.0
Melbourne,32/2 Exhibition St,1,u,700000.0,VB,Castran,19/11/2016,2.8,3000.0,1.0,1.0,1.0,0.0,64.0,1920.0,Melbourne,-37.8157,144.9727,Northern Metropolitan,17496.0
Melbourne,1001/639 Little Bourke St,2,u,470000.0,VB,Greg,18/03/2017,2.8,3000.0,2.0,1.0,2.0,0.0,55.0,1917.0,Melbourne,-37.816,144.9535,Northern Metropolitan,17496.0
Melbourne,713/118 Russell St,2,u,540000.0,PI,Harcourts,29/07/2017,0.0,3000.0,2.0,1.0,0.0,0.0,,1950.0,Melbourne,-37.81351,144.96908,Northern Metropolitan,17496.0
Melbourne,715/300 Swanston St,2,u,483000.0,S,Greg,18/03/2017,2.8,3000.0,1.0,1.0,1.0,0.0,68.0,2004.0,Melbourne,-37.8106,144.9646,Northern Metropolitan,17496.0
Melbourne,1615/250 Elizabeth St,1,u,386000.0,S,Dingle,10/09/2016,2.8,3000.0,1.0,1.0,0.0,0.0,64.0,1976.0,Melbourne,-37.8127,144.9627,Northern Metropolitan,17496.0
Melbourne,61/299 Queen St,2,u,1075000.0,SP,Melbourne,8/07/2017,0.0,3000.0,2.0,2.0,1.0,0.0,,,Melbourne,-37.81141,144.95879,Northern Metropolitan,17496.0
Melbourne,928/43 Therry St,1,u,210000.0,VB,Greg,13/08/2016,2.8,3000.0,1.0,1.0,0.0,0.0,,,Melbourne,-37.8078,144.961,Northern Metropolitan,17496.0
Melbourne,60 Hayward La,3,h,1630000.0,S,Dingle,25/02/2017,2.8,3000.0,3.0,2.0,0.0,95.0,,,Melbourne,-37.8092,144.967,Northern Metropolitan,17496.0
Melbourne,1201/565 Flinders St,2,u,683000.0,S,MICM,22/04/2017,2.8,3000.0,2.0,2.0,1.0,1136.0,88.0,2009.0,Melbourne,-37.8211,144.9559,Northern Metropolitan,17496.0
Camberwell,68 Bowen St,3,h,3400000.0,S,Jellis,25/02/2017,7.8,3124.0,3.0,2.0,4.0,877.0,146.0,1960.0,Boroondara,-37.8437,145.0623,Southern Metropolitan,8920.0
Camberwell,29 Mabel St,4,h,2216000.0,S,Fletchers,8/04/2017,7.8,3124.0,4.0,2.0,0.0,670.0,176.0,1930.0,Boroondara,-37.8378,145.089,Southern Metropolitan,8920.0
Camberwell,3/220 Warrigal Rd,2,u,435000.0,SP,LITTLE,7/11/2016,7.8,3124.0,2.0,1.0,1.0,896.0,77.0,1960.0,Boroondara,-37.8479,145.0958,Southern Metropolitan,8920.0
Camberwell,603 Burke Rd,5,h,2000000.0,VB,Marshall,14/05/2016,7.8,3124.0,5.0,3.0,2.0,801.0,,1920.0,Boroondara,-37.84,145.0548,Southern Metropolitan,8920.0
Camberwell,612 Riversdale Rd,4,h,2750000.0,PI,RT,28/05/2016,7.8,3124.0,4.0,3.0,1.0,0.0,257.0,1912.0,Boroondara,-37.8325,145.0649,Southern Metropolitan,8920.0
Camberwell,4 Lynden St,3,h,1830000.0,S,Ham,22/07/2017,7.7,3124.0,3.0,2.0,4.0,605.0,,,Boroondara,-37.83856,145.08602,Southern Metropolitan,8920.0
Camberwell,14 Hollsmoor Rd,3,h,2155000.0,S,Noel,24/09/2016,7.8,3124.0,3.0,1.0,1.0,891.0,,,Boroondara,-37.8408,145.0905,Southern Metropolitan,8920.0
Camberwell,9 Lofty Av,5,h,2450000.0,VB,Jellis,16/09/2017,7.7,3124.0,5.0,3.0,2.0,570.0,239.0,1926.0,,-37.84136,145.08149,Southern Metropolitan,8920.0
Camberwell,30 Smith Rd,5,h,2800000.0,SP,Marshall,27/06/2016,7.8,3124.0,5.0,3.0,2.0,805.0,,,Boroondara,-37.8459,145.0721,Southern Metropolitan,8920.0
Camberwell,2/37 Donna Buang St,3,h,1430000.0,S,J,12/11/2016,7.8,3124.0,3.0,2.0,2.0,244.0,,,Boroondara,-37.8446,145.06799999999996,Southern Metropolitan,8920.0
Camberwell,15 Hollsmoor Rd,4,h,2228000.0,S,Jellis,18/03/2017,7.8,3124.0,4.0,2.0,2.0,813.0,163.0,1960.0,Boroondara,-37.8405,145.0903,Southern Metropolitan,8920.0
Camberwell,13 Grace St,3,h,1622000.0,SP,Noel,12/11/2016,7.8,3124.0,3.0,1.0,1.0,544.0,160.0,1930.0,Boroondara,-37.8436,145.0581,Southern Metropolitan,8920.0
Camberwell,37 Victoria Rd,4,h,4760000.0,S,Jellis,18/03/2017,7.8,3124.0,4.0,2.0,2.0,903.0,,,Boroondara,-37.8238,145.0624,Southern Metropolitan,8920.0
Camberwell,4/2 Callanish Rd,2,u,729000.0,S,Noel,3/12/2016,7.8,3124.0,2.0,1.0,1.0,137.0,87.0,1970.0,Boroondara,-37.8459,145.088,Southern Metropolitan,8920.0
Camberwell,44 Morey St,4,h,1500000.0,PI,Marshall,22/04/2017,7.8,3124.0,4.0,2.0,2.0,468.0,,,Boroondara,-37.8417,145.097,Southern Metropolitan,8920.0
Camberwell,2/576 Riversdale Rd,2,u,670000.0,VB,Jellis,1/07/2017,7.7,3124.0,2.0,1.0,1.0,0.0,,,Boroondara,-37.83202,145.06095,Southern Metropolitan,8920.0
Camberwell,591 Camberwell Rd,2,h,895000.0,PI,O'Donoghues,16/04/2016,7.8,3124.0,2.0,1.0,1.0,424.0,95.0,1930.0,Boroondara,-37.8465,145.0743,Southern Metropolitan,8920.0
Camberwell,114 Through Rd,3,h,1930000.0,S,Nelson,6/05/2017,7.8,3124.0,3.0,1.0,2.0,643.0,116.0,1920.0,Boroondara,-37.8405,145.0924,Southern Metropolitan,8920.0
Camberwell,2/25 Hazel St,2,u,900000.0,S,Jellis,17/09/2016,7.8,3124.0,2.0,1.0,1.0,150.0,88.0,1970.0,Boroondara,-37.8438,145.066,Southern Metropolitan,8920.0
Camberwell,16A Waterloo St,3,h,3300000.0,S,Kay,25/02/2017,7.8,3124.0,3.0,3.0,2.0,417.0,220.0,2016.0,Boroondara,-37.831,145.0621,Southern Metropolitan,8920.0
Camberwell,19 Thomas St,3,h,2325000.0,PI,Marshall,7/05/2016,7.8,3124.0,3.0,2.0,2.0,1133.0,131.0,1930.0,Boroondara,-37.8426,145.0943,Southern Metropolitan,8920.0
Camberwell,89 Radnor St,3,h,1987000.0,S,Jellis,4/06/2016,7.8,3124.0,3.0,2.0,2.0,706.0,164.0,1960.0,Boroondara,-37.8457,145.0611,Southern Metropolitan,8920.0
Camberwell,8/1277 Toorak Rd,2,u,530000.0,PI,Ross,17/09/2016,7.8,3124.0,2.0,1.0,1.0,0.0,76.0,1960.0,Boroondara,-37.8491,145.086,Southern Metropolitan,8920.0
Camberwell,3/28 Stodart St,2,u,683000.0,S,RT,4/06/2016,7.8,3124.0,2.0,1.0,1.0,146.0,86.0,1970.0,Boroondara,-37.8357,145.0697,Southern Metropolitan,8920.0
Camberwell,19A Warburton Rd,4,u,1900000.0,VB,HAR,17/06/2017,7.7,3124.0,4.0,2.0,4.0,336.0,,,Boroondara,-37.826,145.0707,Southern Metropolitan,8920.0
Camberwell,22 Avenue Rd,2,h,1175000.0,PI,Jellis,27/11/2016,7.8,3124.0,2.0,1.0,1.0,246.0,,,Boroondara,-37.8336,145.0612,Southern Metropolitan,8920.0
Camberwell,31 Kasouka Rd,3,h,2770000.0,S,Marshall,16/09/2017,7.7,3124.0,3.0,2.0,2.0,593.0,,1991.0,,-37.83176,145.0652,Southern Metropolitan,8920.0
Camberwell,28 Kintore St,4,h,5020000.0,S,Jellis,20/05/2017,7.8,3124.0,4.0,4.0,3.0,892.0,,,Boroondara,-37.823,145.0621,Southern Metropolitan,8920.0
Camberwell,30 Moorhouse St,4,h,2990000.0,S,Marshall,20/05/2017,7.8,3124.0,4.0,2.0,2.0,742.0,280.0,1997.0,Boroondara,-37.8284,145.0673,Southern Metropolitan,8920.0
Camberwell,28 Brinsley Rd,4,h,2650000.0,S,Jellis,3/09/2016,7.8,3124.0,4.0,2.0,1.0,652.0,189.0,1890.0,Boroondara,-37.8286,145.0686,Southern Metropolitan,8920.0
Camberwell,2 Thomas St,3,h,1690000.0,PI,hockingstuart,4/06/2016,7.8,3124.0,3.0,2.0,1.0,777.0,154.0,1950.0,Boroondara,-37.8431,145.0962,Southern Metropolitan,8920.0
Camberwell,19 Davis Av,6,h,2835000.0,SP,Noel,16/09/2017,7.7,3124.0,6.0,3.0,2.0,794.0,283.0,1970.0,,-37.84317,145.05688,Southern Metropolitan,8920.0
Camberwell,808 Riversdale Rd,3,h,1700000.0,S,Garvey,27/11/2016,7.8,3124.0,3.0,1.0,1.0,970.0,,,Boroondara,-37.8344,145.0818,Southern Metropolitan,8920.0
Camberwell,4 Range St,3,h,2000000.0,S,Jellis,12/06/2016,7.8,3124.0,3.0,1.0,2.0,821.0,105.0,1925.0,Boroondara,-37.8459,145.0644,Southern Metropolitan,8920.0
Camberwell,20 Kirkwood Dr,5,h,2740000.0,S,Fletchers,28/08/2016,7.8,3124.0,4.0,2.0,2.0,643.0,363.0,2005.0,Boroondara,-37.8421,145.0719,Southern Metropolitan,8920.0
Camberwell,15 Gilbert Pde,3,h,1650000.0,SP,Marshall,12/08/2017,7.7,3124.0,3.0,2.0,2.0,456.0,,,Boroondara,-37.84349,145.07367,Southern Metropolitan,8920.0
Camberwell,6/11 Seymour Gr,2,u,530000.0,PI,Fletchers,22/05/2016,7.8,3124.0,2.0,1.0,1.0,0.0,,,Boroondara,-37.8361,145.0599,Southern Metropolitan,8920.0
Camberwell,1/1 Glen Iris Rd,3,t,1300000.0,S,Fletchers,6/08/2016,7.8,3124.0,3.0,2.0,2.0,342.0,,,Boroondara,-37.8433,145.0695,Southern Metropolitan,8920.0
Camberwell,4/26 Cornell St,2,h,706000.0,S,Fletchers,28/08/2016,7.8,3124.0,2.0,1.0,1.0,95.0,,1960.0,Boroondara,-37.8399,145.0912,Southern Metropolitan,8920.0
Camberwell,29 Kalang Rd,4,h,2015000.0,S,Jellis,27/11/2016,7.8,3124.0,4.0,1.0,4.0,772.0,145.0,1920.0,Boroondara,-37.8441,145.0806,Southern Metropolitan,8920.0
Camberwell,12 Brinsley Rd,4,h,2090000.0,S,Noel,10/12/2016,7.8,3124.0,4.0,2.0,2.0,650.0,,,Boroondara,-37.8274,145.0688,Southern Metropolitan,8920.0
Camberwell,4/1 Through Rd,3,t,930000.0,S,Ray,18/03/2017,7.8,3124.0,3.0,2.0,2.0,132.0,,1970.0,Boroondara,-37.8489,145.088,Southern Metropolitan,8920.0
Camberwell,3/595 Burke Rd,2,t,775000.0,S,hockingstuart,27/11/2016,7.8,3124.0,2.0,2.0,1.0,103.0,,,Boroondara,-37.8406,145.0545,Southern Metropolitan,8920.0
Camberwell,72 Hunter Rd,3,h,1620000.0,S,Jellis,13/05/2017,7.8,3124.0,3.0,2.0,2.0,575.0,155.0,2000.0,Boroondara,-37.8378,145.0909,Southern Metropolitan,8920.0
Camberwell,2/3 Tyrone St,2,h,620000.0,VB,Jellis,13/08/2016,7.8,3124.0,2.0,1.0,1.0,122.0,,1960.0,Boroondara,-37.8439,145.0718,Southern Metropolitan,8920.0
Camberwell,11/596 Riversdale Rd,3,u,682000.0,S,Noel,29/07/2017,7.7,3124.0,3.0,1.0,2.0,2863.0,,,Boroondara,-37.83227,145.06325,Southern Metropolitan,8920.0
Camberwell,3/18 Regent St,2,h,855000.0,S,Woodards,8/04/2017,7.8,3124.0,2.0,1.0,2.0,239.0,,,Boroondara,-37.8442,145.0942,Southern Metropolitan,8920.0
Camberwell,9/43 Inglesby Rd,2,u,615000.0,S,Noel,4/06/2016,7.8,3124.0,2.0,1.0,1.0,1107.0,68.0,1960.0,Boroondara,-37.8347,145.05700000000004,Southern Metropolitan,8920.0
Camberwell,46 Athelstan Rd,5,h,2608000.0,S,Marshall,15/10/2016,7.8,3124.0,5.0,2.0,4.0,730.0,3112.0,1920.0,Boroondara,-37.8424,145.0639,Southern Metropolitan,8920.0
Camberwell,16 Callanish Rd,3,h,2220000.0,S,Marshall,27/11/2016,7.8,3124.0,3.0,2.0,2.0,850.0,,,Boroondara,-37.8456,145.0865,Southern Metropolitan,8920.0
Camberwell,163 Through Rd,3,h,1302000.0,S,Fletchers,12/06/2016,7.8,3124.0,2.0,1.0,1.0,427.0,115.0,1938.0,Boroondara,-37.8367,145.0934,Southern Metropolitan,8920.0
Camberwell,6/9 Eddy St,2,u,677000.0,S,Noel,1/07/2017,7.7,3124.0,2.0,1.0,1.0,131.0,76.0,1975.0,Boroondara,-37.84716,145.07351,Southern Metropolitan,8920.0
Camberwell,7/5 Holly St,2,u,502000.0,PI,O'Donoghues,12/11/2016,7.8,3124.0,2.0,1.0,1.0,0.0,77.0,1965.0,Boroondara,-37.8255,145.0592,Southern Metropolitan,8920.0
Camberwell,21 Avenue Rd,3,h,1905000.0,S,Marshall,20/05/2017,7.8,3124.0,3.0,1.0,2.0,400.0,145.0,1890.0,Boroondara,-37.8333,145.0616,Southern Metropolitan,8920.0
Camberwell,10 Wilson Gr,2,h,1402000.0,S,J,13/05/2017,7.8,3124.0,2.0,1.0,0.0,429.0,,,Boroondara,-37.845,145.071,Southern Metropolitan,8920.0
Camberwell,2/13 Glyndon Rd,2,h,1185000.0,S,Kay,22/08/2016,7.8,3124.0,3.0,2.0,2.0,259.0,,,Boroondara,-37.8357,145.0786,Southern Metropolitan,8920.0
Camberwell,49 Christowel St,5,h,2600000.0,VB,Marshall,3/12/2016,7.8,3124.0,5.0,4.0,1.0,708.0,348.0,1940.0,Boroondara,-37.8386,145.067,Southern Metropolitan,8920.0
Camberwell,1/28 Nevis St,2,u,700000.0,S,Marshall,27/11/2016,7.8,3124.0,2.0,1.0,1.0,631.0,75.0,1970.0,Boroondara,-37.8434,145.08100000000005,Southern Metropolitan,8920.0
Camberwell,78 Fordham Av,5,h,2400000.0,VB,Marshall,29/07/2017,7.7,3124.0,5.0,2.0,0.0,633.0,,1939.0,Boroondara,-37.84115,145.0743,Southern Metropolitan,8920.0
Camberwell,2/564 Riversdale Rd,2,u,693000.0,S,Bekdon,16/07/2016,7.8,3124.0,2.0,1.0,1.0,84.0,,,Boroondara,-37.832,145.0599,Southern Metropolitan,8920.0
Toorak,113 Grange Rd,6,h,2800000.0,S,Marshall,1/07/2017,4.1,3142.0,6.0,2.0,2.0,581.0,,,Stonnington,-37.83195,145.01215,Southern Metropolitan,7217.0
Toorak,1/183 Kooyong Rd,2,u,857000.0,S,Walsh,22/08/2016,4.6,3142.0,2.0,0.0,0.0,0.0,,,Stonnington,-37.8458,145.0221,Southern Metropolitan,7217.0
Toorak,7/49 Bruce St,2,u,867000.0,S,Jellis,8/04/2017,4.6,3142.0,2.0,1.0,1.0,1087.0,,,Stonnington,-37.8373,145.0106,Southern Metropolitan,7217.0
Toorak,22/530 Toorak Rd,2,u,531000.0,S,Morleys,18/03/2017,4.6,3142.0,2.0,1.0,1.0,0.0,,,Stonnington,-37.8424,145.0184,Southern Metropolitan,7217.0
Toorak,11/38 Grange Rd,3,u,950000.0,S,hockingstuart,18/03/2017,4.6,3142.0,3.0,1.0,1.0,57.0,107.0,1960.0,Stonnington,-37.8371,145.012,Southern Metropolitan,7217.0
Toorak,18/703 Orrong Rd,2,u,1100000.0,VB,David,15/10/2016,4.6,3142.0,3.0,2.0,2.0,0.0,,,Stonnington,-37.8414,145.0137,Southern Metropolitan,7217.0
Toorak,5/755 Malvern Rd,3,t,2400000.0,S,Castran,10/09/2016,4.6,3142.0,3.0,3.0,2.0,425.0,,1998.0,Stonnington,-37.8492,145.0163,Southern Metropolitan,7217.0
Toorak,32/637 Orrong Rd,3,t,1320000.0,S,Gary,29/04/2017,4.6,3142.0,3.0,2.0,1.0,3.0,131.0,1970.0,Stonnington,-37.8474,145.0125,Southern Metropolitan,7217.0
Toorak,4/568 Toorak Rd,3,u,1100000.0,VB,Rodney,4/03/2017,4.6,3142.0,3.0,2.0,1.0,0.0,126.0,1935.0,Stonnington,-37.8429,145.0227,Southern Metropolitan,7217.0
Toorak,1/3 Glover Ct,3,h,1435000.0,S,RT,3/12/2016,4.6,3142.0,3.0,1.0,0.0,889.0,135.0,1943.0,Stonnington,-37.8328,145.0065,Southern Metropolitan,7217.0
Toorak,8/2 Douglas St,1,u,462800.0,SP,hockingstuart,8/10/2016,4.6,3142.0,1.0,1.0,1.0,0.0,,1970.0,Stonnington,-37.8392,145.00799999999995,Southern Metropolitan,7217.0
Toorak,2/76 Mathoura Rd,1,u,611000.0,SP,hockingstuart,12/11/2016,4.6,3142.0,1.0,1.0,1.0,0.0,,,Stonnington,-37.8428,145.0081,Southern Metropolitan,7217.0
Toorak,5/3 Tahara Rd,3,u,840000.0,S,hockingstuart,8/04/2017,4.6,3142.0,3.0,1.0,1.0,1678.0,94.0,1940.0,Stonnington,-37.8384,145.0178,Southern Metropolitan,7217.0
Toorak,17 Albany Rd,3,h,6250000.0,S,Kay,15/10/2016,4.6,3142.0,3.0,3.0,2.0,564.0,342.0,2000.0,Stonnington,-37.8486,145.0244,Southern Metropolitan,7217.0
Toorak,11/2 Theodore Ct,2,u,725000.0,S,Marshall,8/07/2017,4.1,3142.0,2.0,1.0,1.0,0.0,,,Stonnington,-37.83532,145.0216,Southern Metropolitan,7217.0
Toorak,2/635 Malvern Rd,2,u,876000.0,S,Jellis,4/03/2017,4.6,3142.0,2.0,1.0,1.0,649.0,,1935.0,Stonnington,-37.8486,145.00799999999995,Southern Metropolitan,7217.0
Toorak,4 Leighton Ct,3,h,2400000.0,PI,Marshall,20/05/2017,4.6,3142.0,3.0,2.0,1.0,224.0,,1950.0,Stonnington,-37.8445,145.0124,Southern Metropolitan,7217.0
Toorak,680 Orrong Rd,4,h,3600000.0,PI,RT,20/05/2017,4.6,3142.0,4.0,2.0,2.0,815.0,,,Stonnington,-37.845,145.0134,Southern Metropolitan,7217.0
Toorak,7/3 Tahara Rd,2,u,701500.0,S,Kay,4/06/2016,4.6,3142.0,2.0,1.0,1.0,0.0,,1951.0,Stonnington,-37.8384,145.0178,Southern Metropolitan,7217.0
Toorak,1 Ross St,4,h,4000000.0,VB,Kay,13/08/2016,4.6,3142.0,4.0,4.0,4.0,324.0,60.0,,Stonnington,-37.8439,145.0093,Southern Metropolitan,7217.0
Toorak,1A Boandyne Ct,2,h,3260000.0,S,Marshall,25/02/2017,4.6,3142.0,2.0,2.0,2.0,334.0,,,Stonnington,-37.8361,145.023,Southern Metropolitan,7217.0
Toorak,8 Hill St,3,h,2500000.0,VB,Jellis,17/06/2017,4.1,3142.0,3.0,2.0,2.0,440.0,,,Stonnington,-37.833,145.01322,Southern Metropolitan,7217.0
Toorak,4/264 Williams Rd,2,u,810000.0,SP,Jellis,10/12/2016,4.6,3142.0,2.0,2.0,2.0,0.0,94.0,1980.0,Stonnington,-37.842,145.0046,Southern Metropolitan,7217.0
Toorak,5 Kyeamba Gr,3,t,2050000.0,S,Rodney,17/09/2016,4.6,3142.0,3.0,2.0,2.0,339.0,,,Stonnington,-37.8425,145.0252,Southern Metropolitan,7217.0
Toorak,3/625 Toorak Rd,2,u,920000.0,S,RT,30/07/2016,4.6,3142.0,2.0,1.0,1.0,0.0,,1930.0,Stonnington,-37.8427,145.0242,Southern Metropolitan,7217.0
Toorak,1/21 Bruce St,1,u,349000.0,PI,Williams,7/05/2016,4.6,3142.0,1.0,1.0,1.0,0.0,38.0,1958.0,Stonnington,-37.8369,145.0077,Southern Metropolitan,7217.0
Toorak,12/1 Ruabon Rd,2,u,490000.0,PI,Thomson,15/10/2016,4.6,3142.0,2.0,1.0,1.0,0.0,,1970.0,Stonnington,-37.8474,145.0078,Southern Metropolitan,7217.0
