Suburb,Rooms,Type,Method,SellerG,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Camberwell,3,h,S,Noel,7.8,3124.0,3.0,1.0,1.0,891.0,,,Boroondara,-37.8408,145.0905,Southern Metropolitan,8920.0
Camberwell,5,h,VB,Jellis,7.7,3124.0,5.0,3.0,2.0,570.0,239.0,1926.0,,-37.84136,145.08149,Southern Metropolitan,8920.0
Camberwell,5,h,SP,Marshall,7.8,3124.0,5.0,3.0,2.0,805.0,,,Boroondara,-37.8459,145.0721,Southern Metropolitan,8920.0
Camberwell,3,h,S,J,7.8,3124.0,3.0,2.0,2.0,244.0,,,Boroondara,-37.8446,145.06799999999996,Southern Metropolitan,8920.0
Camberwell,4,h,S,Jellis,7.8,3124.0,4.0,2.0,2.0,813.0,163.0,1960.0,Boroondara,-37.8405,145.0903,Southern Metropolitan,8920.0
Camberwell,3,h,SP,Noel,7.8,3124.0,3.0,1.0,1.0,544.0,160.0,1930.0,Boroondara,-37.8436,145.0581,Southern Metropolitan,8920.0
Camberwell,4,h,S,Jellis,7.8,3124.0,4.0,2.0,2.0,903.0,,,Boroondara,-37.8238,145.0624,Southern Metropolitan,8920.0
Camberwell,2,u,S,Noel,7.8,3124.0,2.0,1.0,1.0,137.0,87.0,1970.0,Boroondara,-37.8459,145.088,Southern Metropolitan,8920.0
Camberwell,4,h,PI,Marshall,7.8,3124.0,4.0,2.0,2.0,468.0,,,Boroondara,-37.8417,145.097,Southern Metropolitan,8920.0
Camberwell,2,u,VB,Jellis,7.7,3124.0,2.0,1.0,1.0,0.0,,,Boroondara,-37.83202,145.06095,Southern Metropolitan,8920.0
Camberwell,2,h,PI,O'Donoghues,7.8,3124.0,2.0,1.0,1.0,424.0,95.0,1930.0,Boroondara,-37.8465,145.0743,Southern Metropolitan,8920.0
Camberwell,3,h,S,Nelson,7.8,3124.0,3.0,1.0,2.0,643.0,116.0,1920.0,Boroondara,-37.8405,145.0924,Southern Metropolitan,8920.0
Camberwell,2,u,S,Jellis,7.8,3124.0,2.0,1.0,1.0,150.0,88.0,1970.0,Boroondara,-37.8438,145.066,Southern Metropolitan,8920.0
Camberwell,3,h,S,Kay,7.8,3124.0,3.0,3.0,2.0,417.0,220.0,2016.0,Boroondara,-37.831,145.0621,Southern Metropolitan,8920.0
Camberwell,3,h,PI,Marshall,7.8,3124.0,3.0,2.0,2.0,1133.0,131.0,1930.0,Boroondara,-37.8426,145.0943,Southern Metropolitan,8920.0
Camberwell,3,h,S,Jellis,7.8,3124.0,3.0,2.0,2.0,706.0,164.0,1960.0,Boroondara,-37.8457,145.0611,Southern Metropolitan,8920.0
Camberwell,2,u,PI,Ross,7.8,3124.0,2.0,1.0,1.0,0.0,76.0,1960.0,Boroondara,-37.8491,145.086,Southern Metropolitan,8920.0
Camberwell,2,u,S,RT,7.8,3124.0,2.0,1.0,1.0,146.0,86.0,1970.0,Boroondara,-37.8357,145.0697,Southern Metropolitan,8920.0
Camberwell,4,u,VB,HAR,7.7,3124.0,4.0,2.0,4.0,336.0,,,Boroondara,-37.826,145.0707,Southern Metropolitan,8920.0
Camberwell,2,h,PI,Jellis,7.8,3124.0,2.0,1.0,1.0,246.0,,,Boroondara,-37.8336,145.0612,Southern Metropolitan,8920.0
Camberwell,3,h,S,Marshall,7.7,3124.0,3.0,2.0,2.0,593.0,,1991.0,,-37.83176,145.0652,Southern Metropolitan,8920.0
Camberwell,4,h,S,Jellis,7.8,3124.0,4.0,4.0,3.0,892.0,,,Boroondara,-37.823,145.0621,Southern Metropolitan,8920.0
Camberwell,4,h,S,Marshall,7.8,3124.0,4.0,2.0,2.0,742.0,280.0,1997.0,Boroondara,-37.8284,145.0673,Southern Metropolitan,8920.0
Camberwell,4,h,S,Jellis,7.8,3124.0,4.0,2.0,1.0,652.0,189.0,1890.0,Boroondara,-37.8286,145.0686,Southern Metropolitan,8920.0
Camberwell,3,h,PI,hockingstuart,7.8,3124.0,3.0,2.0,1.0,777.0,154.0,1950.0,Boroondara,-37.8431,145.0962,Southern Metropolitan,8920.0
Camberwell,6,h,SP,Noel,7.7,3124.0,6.0,3.0,2.0,794.0,283.0,1970.0,,-37.84317,145.05688,Southern Metropolitan,8920.0
Camberwell,3,h,S,Garvey,7.8,3124.0,3.0,1.0,1.0,970.0,,,Boroondara,-37.8344,145.0818,Southern Metropolitan,8920.0
Camberwell,3,h,S,Jellis,7.8,3124.0,3.0,1.0,2.0,821.0,105.0,1925.0,Boroondara,-37.8459,145.0644,Southern Metropolitan,8920.0
Camberwell,5,h,S,Fletchers,7.8,3124.0,4.0,2.0,2.0,643.0,363.0,2005.0,Boroondara,-37.8421,145.0719,Southern Metropolitan,8920.0
Camberwell,3,h,SP,Marshall,7.7,3124.0,3.0,2.0,2.0,456.0,,,Boroondara,-37.84349,145.07367,Southern Metropolitan,8920.0
Camberwell,2,u,PI,Fletchers,7.8,3124.0,2.0,1.0,1.0,0.0,,,Boroondara,-37.8361,145.0599,Southern Metropolitan,8920.0
Camberwell,3,t,S,Fletchers,7.8,3124.0,3.0,2.0,2.0,342.0,,,Boroondara,-37.8433,145.0695,Southern Metropolitan,8920.0
Camberwell,2,h,S,Fletchers,7.8,3124.0,2.0,1.0,1.0,95.0,,1960.0,Boroondara,-37.8399,145.0912,Southern Metropolitan,8920.0
Camberwell,4,h,S,Jellis,7.8,3124.0,4.0,1.0,4.0,772.0,145.0,1920.0,Boroondara,-37.8441,145.0806,Southern Metropolitan,8920.0
Camberwell,4,h,S,Noel,7.8,3124.0,4.0,2.0,2.0,650.0,,,Boroondara,-37.8274,145.0688,Southern Metropolitan,8920.0
Camberwell,3,t,S,Ray,7.8,3124.0,3.0,2.0,2.0,132.0,,1970.0,Boroondara,-37.8489,145.088,Southern Metropolitan,8920.0
Camberwell,2,t,S,hockingstuart,7.8,3124.0,2.0,2.0,1.0,103.0,,,Boroondara,-37.8406,145.0545,Southern Metropolitan,8920.0
Camberwell,3,h,S,Jellis,7.8,3124.0,3.0,2.0,2.0,575.0,155.0,2000.0,Boroondara,-37.8378,145.0909,Southern Metropolitan,8920.0
Camberwell,2,h,VB,Jellis,7.8,3124.0,2.0,1.0,1.0,122.0,,1960.0,Boroondara,-37.8439,145.0718,Southern Metropolitan,8920.0
Camberwell,3,u,S,Noel,7.7,3124.0,3.0,1.0,2.0,2863.0,,,Boroondara,-37.83227,145.06325,Southern Metropolitan,8920.0
Camberwell,2,h,S,Woodards,7.8,3124.0,2.0,1.0,2.0,239.0,,,Boroondara,-37.8442,145.0942,Southern Metropolitan,8920.0
Camberwell,2,u,S,Noel,7.8,3124.0,2.0,1.0,1.0,1107.0,68.0,1960.0,Boroondara,-37.8347,145.05700000000004,Southern Metropolitan,8920.0
Camberwell,5,h,S,Marshall,7.8,3124.0,5.0,2.0,4.0,730.0,3112.0,1920.0,Boroondara,-37.8424,145.0639,Southern Metropolitan,8920.0
Camberwell,3,h,S,Marshall,7.8,3124.0,3.0,2.0,2.0,850.0,,,Boroondara,-37.8456,145.0865,Southern Metropolitan,8920.0
Camberwell,3,h,S,Fletchers,7.8,3124.0,2.0,1.0,1.0,427.0,115.0,1938.0,Boroondara,-37.8367,145.0934,Southern Metropolitan,8920.0
Camberwell,2,u,S,Noel,7.7,3124.0,2.0,1.0,1.0,131.0,76.0,1975.0,Boroondara,-37.84716,145.07351,Southern Metropolitan,8920.0
Camberwell,2,u,PI,O'Donoghues,7.8,3124.0,2.0,1.0,1.0,0.0,77.0,1965.0,Boroondara,-37.8255,145.0592,Southern Metropolitan,8920.0
Camberwell,3,h,S,Marshall,7.8,3124.0,3.0,1.0,2.0,400.0,145.0,1890.0,Boroondara,-37.8333,145.0616,Southern Metropolitan,8920.0
Camberwell,2,h,S,J,7.8,3124.0,2.0,1.0,0.0,429.0,,,Boroondara,-37.845,145.071,Southern Metropolitan,8920.0
Camberwell,2,h,S,Kay,7.8,3124.0,3.0,2.0,2.0,259.0,,,Boroondara,-37.8357,145.0786,Southern Metropolitan,8920.0
Camberwell,5,h,VB,Marshall,7.8,3124.0,5.0,4.0,1.0,708.0,348.0,1940.0,Boroondara,-37.8386,145.067,Southern Metropolitan,8920.0
Camberwell,2,u,S,Marshall,7.8,3124.0,2.0,1.0,1.0,631.0,75.0,1970.0,Boroondara,-37.8434,145.08100000000005,Southern Metropolitan,8920.0
Camberwell,5,h,VB,Marshall,7.7,3124.0,5.0,2.0,0.0,633.0,,1939.0,Boroondara,-37.84115,145.0743,Southern Metropolitan,8920.0
Camberwell,2,u,S,Bekdon,7.8,3124.0,2.0,1.0,1.0,84.0,,,Boroondara,-37.832,145.0599,Southern Metropolitan,8920.0
Toorak,6,h,S,Marshall,4.1,3142.0,6.0,2.0,2.0,581.0,,,Stonnington,-37.83195,145.01215,Southern Metropolitan,7217.0
Toorak,2,u,S,Walsh,4.6,3142.0,2.0,0.0,0.0,0.0,,,Stonnington,-37.8458,145.0221,Southern Metropolitan,7217.0
Toorak,2,u,S,Jellis,4.6,3142.0,2.0,1.0,1.0,1087.0,,,Stonnington,-37.8373,145.0106,Southern Metropolitan,7217.0
Toorak,2,u,S,Morleys,4.6,3142.0,2.0,1.0,1.0,0.0,,,Stonnington,-37.8424,145.0184,Southern Metropolitan,7217.0
Toorak,3,u,S,hockingstuart,4.6,3142.0,3.0,1.0,1.0,57.0,107.0,1960.0,Stonnington,-37.8371,145.012,Southern Metropolitan,7217.0
Toorak,2,u,VB,David,4.6,3142.0,3.0,2.0,2.0,0.0,,,Stonnington,-37.8414,145.0137,Southern Metropolitan,7217.0
Toorak,3,t,S,Castran,4.6,3142.0,3.0,3.0,2.0,425.0,,1998.0,Stonnington,-37.8492,145.0163,Southern Metropolitan,7217.0
Toorak,3,t,S,Gary,4.6,3142.0,3.0,2.0,1.0,3.0,131.0,1970.0,Stonnington,-37.8474,145.0125,Southern Metropolitan,7217.0
Toorak,3,u,VB,Rodney,4.6,3142.0,3.0,2.0,1.0,0.0,126.0,1935.0,Stonnington,-37.8429,145.0227,Southern Metropolitan,7217.0
Toorak,3,h,S,RT,4.6,3142.0,3.0,1.0,0.0,889.0,135.0,1943.0,Stonnington,-37.8328,145.0065,Southern Metropolitan,7217.0
Toorak,1,u,SP,hockingstuart,4.6,3142.0,1.0,1.0,1.0,0.0,,1970.0,Stonnington,-37.8392,145.00799999999995,Southern Metropolitan,7217.0
Toorak,1,u,SP,hockingstuart,4.6,3142.0,1.0,1.0,1.0,0.0,,,Stonnington,-37.8428,145.0081,Southern Metropolitan,7217.0
Toorak,3,u,S,hockingstuart,4.6,3142.0,3.0,1.0,1.0,1678.0,94.0,1940.0,Stonnington,-37.8384,145.0178,Southern Metropolitan,7217.0
Toorak,3,h,S,Kay,4.6,3142.0,3.0,3.0,2.0,564.0,342.0,2000.0,Stonnington,-37.8486,145.0244,Southern Metropolitan,7217.0
Toorak,2,u,S,Marshall,4.1,3142.0,2.0,1.0,1.0,0.0,,,Stonnington,-37.83532,145.0216,Southern Metropolitan,7217.0
Toorak,2,u,S,Jellis,4.6,3142.0,2.0,1.0,1.0,649.0,,1935.0,Stonnington,-37.8486,145.00799999999995,Southern Metropolitan,7217.0
Toorak,3,h,PI,Marshall,4.6,3142.0,3.0,2.0,1.0,224.0,,1950.0,Stonnington,-37.8445,145.0124,Southern Metropolitan,7217.0
Toorak,4,h,PI,RT,4.6,3142.0,4.0,2.0,2.0,815.0,,,Stonnington,-37.845,145.0134,Southern Metropolitan,7217.0
Toorak,2,u,S,Kay,4.6,3142.0,2.0,1.0,1.0,0.0,,1951.0,Stonnington,-37.8384,145.0178,Southern Metropolitan,7217.0
Toorak,4,h,VB,Kay,4.6,3142.0,4.0,4.0,4.0,324.0,60.0,,Stonnington,-37.8439,145.0093,Southern Metropolitan,7217.0
Toorak,2,h,S,Marshall,4.6,3142.0,2.0,2.0,2.0,334.0,,,Stonnington,-37.8361,145.023,Southern Metropolitan,7217.0
Toorak,3,h,VB,Jellis,4.1,3142.0,3.0,2.0,2.0,440.0,,,Stonnington,-37.833,145.01322,Southern Metropolitan,7217.0
Toorak,2,u,SP,Jellis,4.6,3142.0,2.0,2.0,2.0,0.0,94.0,1980.0,Stonnington,-37.842,145.0046,Southern Metropolitan,7217.0
Toorak,3,t,S,Rodney,4.6,3142.0,3.0,2.0,2.0,339.0,,,Stonnington,-37.8425,145.0252,Southern Metropolitan,7217.0
Toorak,2,u,S,RT,4.6,3142.0,2.0,1.0,1.0,0.0,,1930.0,Stonnington,-37.8427,145.0242,Southern Metropolitan,7217.0
Toorak,1,u,PI,Williams,4.6,3142.0,1.0,1.0,1.0,0.0,38.0,1958.0,Stonnington,-37.8369,145.0077,Southern Metropolitan,7217.0
Toorak,2,u,PI,Thomson,4.6,3142.0,2.0,1.0,1.0,0.0,,1970.0,Stonnington,-37.8474,145.0078,Southern Metropolitan,7217.0
Toorak,2,u,SP,Jellis,4.1,3142.0,2.0,1.0,1.0,0.0,84.0,1935.0,Stonnington,-37.83241,145.00705,Southern Metropolitan,7217.0
Toorak,2,u,S,hockingstuart,4.6,3142.0,2.0,1.0,1.0,0.0,,,Stonnington,-37.8424,145.0184,Southern Metropolitan,7217.0
Toorak,2,u,S,Rodney,4.6,3142.0,2.0,1.0,1.0,1816.0,105.0,1960.0,Stonnington,-37.8389,145.0141,Southern Metropolitan,7217.0
Toorak,1,u,PI,Dixon,4.6,3142.0,2.0,1.0,1.0,0.0,,1970.0,Stonnington,-37.8473,145.0053,Southern Metropolitan,7217.0
Toorak,1,u,S,Jellis,4.6,3142.0,1.0,1.0,1.0,0.0,35.0,1967.0,Stonnington,-37.8464,145.0074,Southern Metropolitan,7217.0
Toorak,3,u,VB,Castran,4.1,3142.0,3.0,2.0,2.0,0.0,,,Stonnington,-37.84212,145.01346,Southern Metropolitan,7217.0
Toorak,3,t,VB,Kay,4.6,3142.0,3.0,2.0,2.0,294.0,220.0,2010.0,Stonnington,-37.8503,145.0292,Southern Metropolitan,7217.0
Toorak,3,u,VB,Marshall,4.1,3142.0,3.0,2.0,2.0,0.0,,1975.0,Stonnington,-37.83725,145.01476,Southern Metropolitan,7217.0
Toorak,2,u,S,hockingstuart,4.6,3142.0,2.0,1.0,1.0,1119.0,,2008.0,Stonnington,-37.8498,145.0173,Southern Metropolitan,7217.0
Toorak,3,h,S,Marshall,4.6,3142.0,3.0,2.0,1.0,363.0,215.0,1935.0,Stonnington,-37.8445,145.0182,Southern Metropolitan,7217.0
Toorak,2,u,S,Jellis,4.6,3142.0,2.0,1.0,1.0,0.0,82.0,1950.0,Stonnington,-37.8424,145.0184,Southern Metropolitan,7217.0
Toorak,4,h,PI,Sotheby's,4.6,3142.0,4.0,2.0,2.0,237.0,,,Stonnington,-37.8507,145.0298,Southern Metropolitan,7217.0
Toorak,2,u,S,hockingstuart,4.6,3142.0,2.0,1.0,1.0,0.0,,,Stonnington,-37.8366,145.0114,Southern Metropolitan,7217.0
Toorak,3,h,VB,Castran,4.6,3142.0,3.0,2.0,1.0,268.0,139.0,1900.0,Stonnington,-37.8369,145.0072,Southern Metropolitan,7217.0
Toorak,4,h,PI,RT,4.6,3142.0,4.0,3.0,2.0,732.0,367.0,1980.0,Stonnington,-37.8349,145.01,Southern Metropolitan,7217.0
Toorak,2,h,VB,David,4.6,3142.0,2.0,1.0,0.0,338.0,,,Stonnington,-37.8475,145.0086,Southern Metropolitan,7217.0
Toorak,2,u,S,Marshall,4.1,3142.0,2.0,2.0,2.0,586.0,119.0,1990.0,Stonnington,-37.84266,145.02355,Southern Metropolitan,7217.0
Toorak,3,h,PI,Marshall,4.6,3142.0,3.0,2.0,4.0,1317.0,228.0,2000.0,Stonnington,-37.838,145.0054,Southern Metropolitan,7217.0
Toorak,2,u,PI,Williams,4.6,3142.0,2.0,2.0,2.0,0.0,,,Stonnington,-37.8414,145.0137,Southern Metropolitan,7217.0
Toorak,3,u,S,Rodney,4.6,3142.0,3.0,1.0,2.0,4657.0,,1980.0,Stonnington,-37.8421,145.0237,Southern Metropolitan,7217.0
Toorak,3,h,PI,Kay,4.6,3142.0,3.0,2.0,2.0,600.0,205.0,1967.0,Stonnington,-37.8332,145.0117,Southern Metropolitan,7217.0
Toorak,2,u,SP,Marshall,4.6,3142.0,2.0,1.0,1.0,0.0,,,Stonnington,-37.8428,145.0216,Southern Metropolitan,7217.0
Toorak,2,u,S,RT,4.6,3142.0,2.0,2.0,2.0,0.0,109.0,1970.0,Stonnington,-37.8371,145.0066,Southern Metropolitan,7217.0
Toorak,3,t,VB,Jellis,4.6,3142.0,3.0,3.0,2.0,0.0,291.0,2000.0,Stonnington,-37.8428,145.0171,Southern Metropolitan,7217.0
Toorak,3,h,S,Marshall,4.6,3142.0,3.0,1.0,2.0,386.0,,,Stonnington,-37.8435,145.0043,Southern Metropolitan,7217.0
Toorak,2,u,PI,Rodney,4.6,3142.0,2.0,1.0,1.0,0.0,,,Stonnington,-37.8501,145.0199,Southern Metropolitan,7217.0
Toorak,3,u,S,Jellis,4.6,3142.0,4.0,2.0,2.0,0.0,185.0,2014.0,Stonnington,-37.8512,145.0282,Southern Metropolitan,7217.0
Toorak,3,h,S,Kay,4.6,3142.0,3.0,1.0,0.0,222.0,118.0,1920.0,Stonnington,-37.8448,145.0055,Southern Metropolitan,7217.0
Toorak,2,u,PI,Williams,4.6,3142.0,2.0,1.0,1.0,0.0,,1970.0,Stonnington,-37.8432,145.0137,Southern Metropolitan,7217.0
Toorak,4,h,S,Marshall,4.6,3142.0,4.0,4.0,5.0,877.0,332.0,1923.0,Stonnington,-37.8447,145.0134,Southern Metropolitan,7217.0
Toorak,3,h,SP,Castran,4.6,3142.0,3.0,3.0,2.0,575.0,205.0,1930.0,Stonnington,-37.8375,145.0092,Southern Metropolitan,7217.0
Toorak,1,u,S,Jellis,4.6,3142.0,1.0,1.0,1.0,0.0,57.0,1970.0,Stonnington,-37.8373,145.0116,Southern Metropolitan,7217.0
Toorak,3,u,PI,hockingstuart,4.1,3142.0,3.0,1.0,1.0,0.0,,1970.0,Stonnington,-37.84744,145.00783,Southern Metropolitan,7217.0
